,lat,lon,place_name,total_facility_available_name,large_range_category
45369,37.60692120000001,127.03066470000002,성가복지병원 화장실,장애인용 화장실,화장실
45337,37.593691299999996,127.01770959999999,롯데리아 성신여대점 화장실,장애인용 화장실,화장실
45148,37.5963421,127.02854769999999,북선 화장실,장애인용 화장실,화장실
45143,37.584858600000004,127.01991059999999,보문동 화장실,장애인용 화장실,화장실
45210,37.6079876,127.03029009999999,우일에너지 화장실,장애인용 화장실,화장실
45371,37.5936034,127.0157368,성북구 보건소 보건지소 화장실,장애인용 화장실,화장실
45138,37.6048579,127.0327834,모랫말근린공원 화장실 화장실,장애인용 화장실,화장실
45373,37.5948311,126.99487140000002,성북구립미술관 화장실 화장실,장애인용 화장실,화장실
45133,37.5829573,127.02035409999999,동일주유소 화장실,장애인용 화장실,화장실
45213,37.60919129999999,127.0100281,원천제1주유소 화장실,장애인용 화장실,화장실
45376,37.5856452,127.00744040000001,성북구민정보화센터 화장실,장애인용 화장실,화장실
45378,37.6099679,127.04194840000002,성북구민체육관 화장실 화장실,장애인용 화장실,화장실
45216,37.6066402,127.0343461,월곡1동 화장실,장애인용 화장실,화장실
45380,37.5894505,127.0168346,성북구청 화장실,장애인용 화장실,화장실
45130,37.59789470000001,127.02132209999999,돈암마을마당 화장실,장애인용 화장실,화장실
45336,37.6033305,127.0354101,효성주유소 화장실,장애인용 화장실,화장실
45222,37.6119091,127.0397597,월곡광장 화장실,장애인용 화장실,화장실
45366,37.58173729999999,127.02767220000001,석탑빌딩 화장실,장애인용 화장실,화장실
45159,37.6208844,127.00667340000001,북한산생태숲화장실 화장실,장애인용 화장실,화장실
45340,37.6134445,127.0656074,미리내도서관화장실 화장실,장애인용 화장실,화장실
45203,37.60852020000001,127.0430126,오동근린공원화장실 화장실,장애인용 화장실,화장실
45185,37.5927439,126.99124920000001,성북성터 화장실,장애인용 화장실,화장실
45189,37.587666299999995,127.01837420000001,성북주유소 화장실,장애인용 화장실,화장실
45182,37.595145,127.00759579999999,성북근린공원화장실 화장실,장애인용 화장실,화장실
45349,37.5908399,127.0146256,삼선동 주민센터 화장실,장애인용 화장실,화장실
45179,37.59632620000001,126.9936904,성북2동 화장실,장애인용 화장실,화장실
45192,37.6088433,127.02924809999999,세창주유소 화장실,장애인용 화장실,화장실
45354,37.6058467,127.0482662,상월곡실버복지센터 화장실,장애인용 화장실,화장실
45176,37.607231299999995,127.05056370000001,새천년주유소 화장실,장애인용 화장실,화장실
45195,37.61347420000001,127.03816470000001,신동방석유㈜ 화장실,장애인용 화장실,화장실
45383,37.5977829,127.03439209999999,성북노인종합복지관 화장실,장애인용 화장실,화장실
45346,37.6025791,126.99802079999999,북악골프 화장실,장애인용 화장실,화장실
45173,37.6091998,127.0454537,상월곡동 화장실,장애인용 화장실,화장실
45342,37.580368299999996,127.02278740000001,보문동주민센터 화장실,장애인용 화장실,화장실
45167,37.587976399999995,127.00552140000002,삼선주유소 화장실,장애인용 화장실,화장실
45197,37.606899799999994,127.05007309999999,신명에너지㈜ 화랑로주유소 화장실,장애인용 화장실,화장실
45360,37.608760499999995,127.0524081,석관동 우체국 화장실,장애인용 화장실,화장실
45162,37.5832289,127.01037659999999,삼선어린이공원 화장실 화장실,장애인용 화장실,화장실
45200,37.58559210000001,127.02172309999999,안암동 화장실,장애인용 화장실,화장실
45362,37.6129659,127.0614051,석관동 주민센터 화장실,장애인용 화장실,화장실
45364,37.6067055,127.05822830000001,석관실버복지센터화장실 화장실,장애인용 화장실,화장실
45357,37.578683500000004,127.0226131,서광빌딩 화장실,장애인용 화장실,화장실
45428,37.6054844,127.05769709999998,의릉관리사무소 화장실,장애인용 화장실,화장실
45333,37.6078619,127.0507216,화랑주유소 화장실,장애인용 화장실,화장실
45386,37.59104620000001,127.00323290000001,성북동 주민센터 화장실,장애인용 화장실,화장실
45410,37.6003222,127.01387509999999,아리랑시네센터화장실 화장실,장애인용 화장실,화장실
45323,37.6149534,127.05274920000001,㈜진영와이엔제이 원천주유소 화장실,장애인용 화장실,화장실
45102,37.6215551,127.0518436,SK네트웍스(주) 한천로주유소 화장실,장애인용 화장실,화장실
45249,37.5958695,127.0086976,구민회관 공공 화장실 화장실,장애인용 화장실,화장실
45412,37.60567260000001,127.0379341,아이조아팀 화장실,장애인용 화장실,화장실
45099,37.6136312,127.06019840000002,SK네트웍스(주) 장삼주유소 화장실,장애인용 화장실,화장실
45251,37.6055321,127.01163659999999,금영빌딩 화장실,장애인용 화장실,화장실
45415,37.5844206,127.0230499,안암동주민센터 화장실,장애인용 화장실,화장실
45417,37.6122062,127.05871440000001,온누리병원 화장실,장애인용 화장실,화장실
45096,37.6005313,127.01419879999999,SK네트웍스(주) 아리랑주유소 화장실,장애인용 화장실,화장실
45419,37.5849739,127.0310592,우신향병원 구관동 화장실,장애인용 화장실,화장실
45257,37.6053737,127.0248645,기린빌딩 화장실,장애인용 화장실,화장실
45093,37.605566700000004,127.0085108,SK네트웍스(주) 북악주유소 화장실,장애인용 화장실,화장실
45259,37.6104808,127.0194382,길음1동 주민센터 화장실,장애인용 화장실,화장실
45320,37.6015316,127.0389111,종암2동마을마당 화장실,장애인용 화장실,화장실
45422,37.61053010000001,127.03574409999999,월곡1동 주민센터 화장실,장애인용 화장실,화장실
45091,37.475302,126.98376299999998,사당주차장 화장실 화장실,장애인용 화장실,화장실
45424,37.6057725,127.04785349999999,월곡2동 주민센터 화장실,장애인용 화장실,화장실
45426,37.60702720000001,127.0383416,월곡두산위브 센츠로 상가 화장실,장애인용 화장실,화장실
45408,37.6000539,127.0139127,아리랑도서관화장실 화장실,장애인용 화장실,화장실
45324,37.6132024,127.0708087,중랑천 이동식 화장실,장애인용 화장실,화장실
45104,37.616609499999996,127.04139380000001,SK에너지(주) 드림랜드주유소 화장실,장애인용 화장실,화장실
45326,37.5779421,127.02278419999999,중앙알뜰주유소 화장실,장애인용 화장실,화장실
45228,37.6206238,127.05247959999998,장위3동 화장실,장애인용 화장실,화장실
45389,37.5900467,127.00410759999998,성북예술창작터 화장실 화장실,장애인용 화장실,화장실
45331,37.602964799999995,127.0376475,화랑로 화장실,장애인용 화장실,화장실
45392,37.6046133,127.04575430000001,성북장애인복지관 화장실,장애인용 화장실,화장실
45232,37.617110600000004,127.05327220000001,장위3동 마을공원 화장실 화장실,장애인용 화장실,화장실
45395,37.6049953,127.0507256,성북정보도서관화장실 화장실,장애인용 화장실,화장실
45398,37.6102064,127.06998020000002,성북종합레포츠타운 화장실,장애인용 화장실,화장실
45234,37.5944763,126.99126570000001,강촌쌈밥 화장실,장애인용 화장실,화장실
45122,37.6027771,127.0320297,그린에너지(주)직영 종암주유소 화장실,장애인용 화장실,화장실
45127,37.5800534,127.0230236,꿈나라어린이공원 화장실 화장실,장애인용 화장실,화장실
45235,37.596861600000004,127.0262231,개운산스포츠센터 화장실,장애인용 화장실,화장실
45400,37.5971101,127.03567759999999,성북중앙병원신관동 화장실,장애인용 화장실,화장실
45113,37.598114100000004,127.0253905,개운산근린공원화장실 화장실,장애인용 화장실,화장실
45403,37.6002789,127.02159909999999,성심빌딩 화장실,장애인용 화장실,화장실
45109,37.5855374,127.0317962,신방주유소 화장실,장애인용 화장실,화장실
45328,37.5916533,127.0366064,현대오일뱅크㈜ 직영현대셀프주유소 고대점 화장실,장애인용 화장실,화장실
45239,37.5921696,127.03668789999999,거산프라자 화장실,장애인용 화장실,화장실
45106,37.6010584,127.02156129999999,SK에너지(주) 미도주유소 화장실,장애인용 화장실,화장실
45242,37.5856336,127.0138501,경동고 공영주차장 화장실,장애인용 화장실,화장실
45405,37.59911620000001,127.0145912,시네마빌딩화장실 화장실,장애인용 화장실,화장실
45117,37.5919857,127.0360382,고려주유소 화장실,장애인용 화장실,화장실
45156,37.6044281,127.0072894,북한산 에코체험관 화장실 화장실,장애인용 화장실,화장실
