,lat,lon,place_name,total_facility_available_name,large_range_category
16092,37.55634170573935,126.93730121307377,VERTIGO빌딩,장애인용 승강기,영화관/공연장
22069,37.484233557997975,126.9824386118378,동주빌딩,장애인용 승강기,종합병원
23401,37.60993102793067,127.03071499041259,메가박스,장애인용 승강기,영화관/공연장
20795,37.62076820504448,127.08292438051176,대덕프라자,장애인용 승강기,종합병원
17352,37.49469049684839,127.14852587283256,거송경노당,장애인용 승강기,복지시설
20231,37.51727790929765,127.03718791359726,논현2동문화센터,장애인용 승강기,지역자치센터
16510,37.61325917598021,127.0373307962207,가족사랑요양센터,장애인용 승강기,복지시설
23422,37.59308085084436,127.07475012589887,메가박스 상봉점,장애인용 승강기,영화관/공연장
20282,37.56649938877239,126.96855579688858,농협중앙회중앙본부사무실,장애인용 승강기,전시장
23590,37.461897922916044,126.91875697424172,면류관교회,장애인용 승강기,학교
18210,37.66506464404276,127.05802533092728,교육연구시설,장애인용 승강기,교육원·직업훈련소·학원
19493,37.453104078760546,126.90892027622084,나누리지역아동센터,장애인용 승강기,학교
22168,37.52464932737647,126.92683862891994,두레빌딩,장애인용 승강기,종합병원
21208,37.55419220612313,126.84010236027392,대한노인회강서지회,장애인용 승강기,복지시설
17308,37.5276831195916,127.03579024914268,갤러리 현대,장애인용 승강기,전시장
17772,37.50715313721929,127.04049899438179,공무원연금공단,장애인용 승강기,종합병원
15401,37.47216130115661,126.997115023573,EXR타워,장애인용 승강기,교육원·직업훈련소·학원
22301,37.56188161033503,126.80991135278586,등촌4종합사회복지관,장애인용 승강기,복지시설
21307,37.4862344288621,126.98739055986252,대호아이알,장애인용 승강기,종합병원
15250,37.5284437241851,127.12535988866115,CGV,장애인용 승강기,영화관/공연장
15558,37.52130239611749,127.02852930892904,ICL빌딩,장애인용 승강기,교육원·직업훈련소·학원
19627,37.477540909495296,126.91567397118796,난곡프라자,장애인용 승강기,종합병원
21683,37.587248281685184,127.0500257811772,동대문노인종합사회복지관및 청소년수련관,장애인용 승강기,복지시설
