place_id,place_name,lat,lon,place_address,category
14600,원천교회,37.5256284,126.8889199,서울특별시 영등포구 양산로 53,other
14601,월계문화정보도서관,37.4954557,126.8364205,서울특별시 구로구 부일로19길 40,other
14602,월드메르디앙벤처센타,37.5237475,126.9620563,서울특별시 용산구 한강대로 23,other
14603,월드메르디앙비즈센터,37.5375886,126.9453325,서울특별시 마포구 마포대로4나길 36,other
14604,월드비젼센터,37.5855985,126.899424,서울특별시 은평구 은평터널로  51,other
14605,웨딩코리아,37.4920174,126.9452984,서울특별시 관악구 성현로 10,other
14606,은석교회,37.5312777,126.8524717,서울특별시 강서구 곰달래로33가길  10,other
14607,은천교회,37.6205695,127.0268039,서울특별시 강북구 도봉로29길 24,other
14608,은천제일교회,37.600298,126.9286348,서울특별시 은평구 은평로14길 14,other
14609,은총교회,37.60455,126.9232154,서울특별시 은평구 응암로  376,other
14610,은평교회,37.5,127,,etc
14611,은파교회,37.6189985,126.9282999,서울특별시 은평구 통일로78가길 13-84,other
14612,은평가정교회,37.6304154,126.9237542,서울특별시 은평구 진관1로 40,other
14613,은평감리교회,37.6405034,126.9214409,서울특별시 은평구 진관3로  46,other
14614,은평구립도서관,37.6283942,127.0173271,서울특별시 강북구 삼양로69길 9,other
14615,은평구민체육센터,37.5443673,127.088041,서울특별시 광진구 자양로32길 53,other
14616,은평제일교회,37.6004,126.9295946,서울특별시 은평구 응암로16길 12-1,other
14617,은혜교회,37.5467448,127.0611306,서울특별시 성동구 광나루로6길  20,other
14618,은혜제일교회,37.4788423,126.8810977,서울특별시 금천구 가산디지털1로 151,other
14619,응암교회,37.5460709,127.0583592,서울특별시 성동구 아차산로9길  21,other
14620,이-글타운아파트형공장,37.5929425,127.0594305,서울특별시 동대문구 이문로12길 20,other
14621,이노플렉스-I,37.4980182,126.9833978,서울특별시 동작구 동작대로 239,other
14622,이레타워,37.4849897,126.9809757,서울특별시 동작구 사당로 310,other
14623,이문동성당,37.5268481,126.891826,서울특별시 영등포구 선유로  146,other
14624,이수성결교회,37.4800725,126.8870525,서울특별시 금천구 디지털로9길  46,other
14625,이수역,37.4699104,126.8855746,서울특별시 금천구 가산디지털1로  45,other
14626,이앤씨드림타워,37.5760738,126.9525184,서울특별시 서대문구 통일로  279-79,other
14627,이앤씨드림타워7차,37.5589579,126.837795,서울특별시 강서구 공항대로  271,other
14628,이앤씨드림타워8차,37.4721778,126.9182159,서울특별시 관악구 난곡로35길 21,other
14629,이진아기념도서관,37.4725298,126.9660838,서울특별시 관악구 남부순환로248길 78-2,other
14630,일심교회,37.5,127,,etc
14631,이천이프라자,37.547722,127.0619916,서울특별시 성동구 광나루로  290,other
14632,인애교회,37.569899,127.0574545,서울특별시 동대문구 전농로 58,other
14633,인헌동성당,37.515729,126.8366292,서울특별시 양천구 남부순환로80길 28,other
14634,일조산업,37.5421371,127.1476734,서울특별시 강동구 명일로 262,other
14635,임마누엘교회,37.4995802,127.0578624,서울특별시 강남구 도곡로77길 23,other
14636,임마누엘교회,37.4942371,127.12966,서울특별시 송파구 동남로  187,other
14637,임마누엘교회(예신교회),37.5034999,126.9496794,서울특별시 동작구 상도로41가길 13,other
14638,작은도서관,37.5079464,126.9393521,서울특별시 동작구 장승배기로 113,other
14639,잠실교회,37.5043257,126.9375785,서울특별시 동작구 상도로 169,other
14640,장로교회,37.5774676,127.0704736,서울특별시 동대문구 장한로27나길 97,other
14641,장성교회,37.5753616,127.0693724,서울특별시 동대문구 답십리로65길 59,other
14642,장승배기역,37.559827,127.0557486,서울특별시 성동구 자동차시장길 42,other
14643,장안교회,37.6149715,127.0479327,서울특별시 성북구 장월로 101,other
14644,장안동성당,37.5632016,126.989182,서울특별시 중구 수표로 33,other
14645,장안평골프클럽,37.532457,127.1329394,서울특별시 강동구 성안로,other
14646,장위중앙교회,37.5949555,127.0001376,서울특별시 성북구 선잠로 12-18,other
14647,전신전화국가락지사,37.5,127,,etc
14648,장충교회(별관),37.5373365,126.9784621,서울특별시 용산구 이태원로  29,other
14649,재단법인한국SGI,37.5451381,126.911791,서울특별시 마포구 토정로 6-1,other
14650,전등사,37.5441431,126.9117788,서울특별시 마포구 토정로 6,other
14651,전쟁기념관(뮤지엄웨딩홀),37.5507502,127.1248734,서울특별시 강동구 상암로4가길  32,other
14652,절두산순교박물관영상교육관,37.579777,126.9832525,서울특별시 종로구 북촌로5길 48,other
14653,절두산순교성지교육관,37.6099266,127.0107111,서울특별시 성북구 보국문로14길 18,other
14654,점자도서관,37.6078643,127.011342,서울특별시 성북구 보국문로8길 23,other
14655,정독도서관,37.6071542,126.997374,서울특별시 성북구 정릉로8다길 38,other
14656,정릉4동성당,37.6015382,126.9909061,서울특별시 성북구 대사관로13길 44,other
14657,정릉감리교회,37.5706033,126.8076749,서울특별시 강서구 양천로6길  47,other
14658,정릉중앙교회,37.4933475,127.1333631,서울특별시 송파구 동남로14길  17-45,other
14659,정법사,37.6066579,127.0194362,서울특별시 성북구 서경로6길  70,other
14660,정신교회,37.493885,126.8939111,서울특별시 구로구 도림천로 344,other
14661,정원교회,37.5831133,127.0336602,서울특별시 동대문구 약령시로 31,other
14662,정인교회,37.4932248,126.9139216,서울특별시 동작구 여의대방로10가길 22,other
14663,정현탑웨딩홀,37.4953157,126.9381896,서울특별시 동작구 성대로12길 71,other
14664,제기동천주교회,37.5409137,127.0620929,서울특별시 성동구 연무장19길 5,other
14665,제일교회,37.5475705,127.1060393,서울특별시 광진구 아차산로 603-12,other
14666,제일성민교회,37.4729249,127.0503656,서울특별시 강남구 논현로6길 6,other
14667,제일전자공장,37.5742324,126.9646728,서울특별시 종로구 인왕산로1길 21,other
14668,제칠일안식일예수재림교 광나루교회,37.5362051,127.0903388,서울특별시 광진구 구의강변로3길 31,other
14669,종교시설,37.5008872,127.148395,서울특별시 송파구 성내천로24길 6,other
14670,종로구문화체육센터,37.5475154,126.8627409,서울특별시 강서구 등촌로 197,other
14671,좋은교회,37.4680093,126.9017878,서울특별시 금천구 독산로  237,other
14672,좋은나무교회,37.4948996,126.9057827,서울특별시 영등포구 디지털로 436,other
14673,좋은샘교회,37.5522034,126.8327196,서울특별시 강서구 강서로47라길 19-16,other
14674,주사랑교회,37.5,127,,etc
14675,주는교회,37.4842851,126.9710905,서울특별시 동작구 사당로14가길 21,other
14676,주님의교회,37.5606518,127.0221209,서울특별시 중구 다산로36길 109,other
14677,주님의교회,37.6151663,127.0869202,서울특별시 중랑구 신내로15길  197,other
